Price,Adj Close,Close,High,Low,Open,Volume,return,volatility
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,,
2021-06-24,126.82630157470703,127.28199768066406,127.5354995727539,126.95999908447266,127.05349731445312,18934000,0.6488105802988864,9.989656478632687
2021-06-25,126.54032897949219,126.99500274658203,127.50499725341797,126.44400024414062,126.95700073242188,33484000,-0.2254795959457434,8.239527014693277
2021-06-28,126.3654556274414,126.81950378417969,127.33699798583984,125.97380065917969,127.0,28110000,-0.13819359707606393,7.268915475183491
2021-06-29,125.56732177734375,126.01850128173828,127.0,125.43699645996094,126.77249908447266,20950000,-0.6316082925261646,7.738998635861444
2021-06-30,124.86734008789062,125.31600189208984,125.80000305175781,124.75749969482422,125.65354919433594,24006000,-0.557457343567247,8.083399153924088
2021-07-01,125.91606903076172,126.36849975585938,126.4625015258789,124.84974670410156,124.84974670410156,17120000,0.8398750741153149,9.335578746533079
2021-07-02,128.25814819335938,128.718994140625,128.84800720214844,126.76899719238281,126.8395004272461,21160000,1.8600318823968953,16.869347344383886
2021-07-06,129.30638122558594,129.77099609375,129.88450622558594,128.40899658203125,129.44949340820312,21350000,0.8172857161824032,16.760047451809285
2021-07-07,129.61178588867188,130.07749938964844,130.639892578125,129.75999450683594,130.34100341796875,16680000,0.2361878271143203,14.102476922934756
2021-07-08,128.71450805664062,129.177001953125,130.03250122070312,128.0399932861328,128.25,19780000,-0.6922776350627657,14.836567514713957
2021-07-09,129.110595703125,129.57449340820312,129.84950256347656,128.94349670410156,128.9445037841797,15106000,0.30771069855171085,14.803111489516128
2021-07-12,130.09654235839844,130.56399536132812,130.77000427246094,129.60000610351562,129.83349609375,16944000,0.7636548884723204,9.624708787017658
2021-07-13,130.5255126953125,130.9945068359375,132.04200744628906,130.63699340820312,130.88150024414062,16618000,0.3297321542726772,8.485822716773027
2021-07-14,131.609619140625,132.08250427246094,132.99600219726562,131.8979949951172,131.90150451660156,17912000,0.8305672220943583,9.661713504618167
2021-07-15,130.79652404785156,131.26649475097656,132.59500122070312,130.59800720214844,132.5,16586000,-0.6178028846281602,9.178397293180504
2021-07-16,131.37347412109375,131.8455047607422,132.18299865722656,130.82150268554688,131.64100646972656,14856000,0.4410950493224153,9.213388573610686
2021-07-19,128.79124450683594,129.25399780273438,131.2469940185547,128.53700256347656,131.15550231933594,25710000,-1.965563378676105,17.828627396087843
2021-07-20,130.63214111328125,131.10150146484375,132.0013427734375,129.1884002685547,130.00399780273438,19084000,1.4293590090180386,21.253211213782635
2021-07-21,132.12574768066406,132.60049438476562,132.61724853515625,130.60150146484375,130.78700256347656,14742000,1.14338348773515,22.100679636219162
2021-07-22,132.85116577148438,133.32850646972656,133.50450134277344,132.39999389648438,132.64999389648438,13608000,0.5490266747034012,21.297226838813025
2021-07-23,137.3225860595703,137.8159942626953,138.80850219726562,134.70050048828125,135.25999450683594,26378000,3.365737689402293,30.487588817770114
2021-07-26,139.14454650878906,139.64450073242188,139.71299743652344,137.6510009765625,138.25,23052000,1.3267737750679354,16.8892859988226
